,name,organization,date,location,death,type,na,desc
10,Allah Noor,Khyber TV,"February 7, 2005",Pakistan,Killed,Murder,,"

Gunmen in South Waziristan fatally shot Allah Noor, a
journalist for Peshawar-based Khyber TV, and Amir Nowab, a freelance cameraman
for Associated Press Television News and a reporter for the Frontier Post
newspaper. The journalists were riding with colleagues in a bus transporting
them from the town of Sararogha, where they had covered the surrender of a
suspected tribal militant, Baitullah Mehsud.
A car overtook the bus about 7:30 p.m. near the town of
Wana, and assailants opened fire with AK-47 assault rifles, according to The
Associated Press, which quoted Mahmood Shah, chief of security for Pakistan’s
tribal areas bordering Afghanistan. Two other journalists riding in the bus
were injured. Anwar Shakir, a stringer for Agence France-Presse, was wounded in
the back during the attack, according to news reports. Dilawar Khan, who was
working for Al-Jazeera, suffered minor injuries. Nowab was also known
professionally as Mir Nawab. 
Days later, a group calling itself Sipah-e-Islam, or
Soldiers of Islam, claimed responsibility for the killings in a letter faxed to
newspapers. It accused some journalists of “working for Christians” and of
“being used as tools in negative propaganda … against the Muslim mujahideen.”
Local journalists blamed officials for not doing more at the
time of the murders. They said no attempt was made to stop the gunmen’s vehicle
even though the attack took place in an area under government control. They
also said no real investigation into the murders took place.
The Pakistani military had begun an offensive against
suspected Al-Qaeda fighters in South Waziristan in early 2004. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
11,Altaf Ahmed Faktoo,Doordarshan TV,"January 1, 1997",India,Killed,Murder,,"
Faktoo, an anchor for the state-owned Doordarshan television station in Srinagar, Kashmir, was assassinated, reportedly by militant separatists, who fired two shots at the journalist with a gun equipped with a silencer. He had received repeated threats from militant separatists because of his work and had been kidnapped and detained by a militant group in 1994.
 Faktoo had aired pro-government news reports that criticized the separatist movement. Shortly before his death, he started working for a news program about Kashmir that is broadcast by satellite throughout India, but not in Kashmir. He was the seventh journalist assassinated in Kashmir since the militant movement began in 1989 and the third to be specifically targeted because of his work with the state-owned broadcast media.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
12,Amir Nowab,Associated Press Television News and Frontier Post,"February 7, 2005",Pakistan,Killed,Murder,,"
Gunmen in South Waziristan fatally shot Allah Noor, a
journalist for Peshawar-based Khyber TV, and Amir Nowab, a freelance cameraman
for Associated Press Television News and a reporter for the Frontier Post
newspaper. The journalists were riding with colleagues in a bus transporting
them from the town of Sararogha, where they had covered the surrender of a
suspected tribal militant, Baitullah Mehsud.
A car overtook the bus about 7:30 p.m. near the town of
Wana, and assailants opened fire with AK-47 assault rifles, according to The
Associated Press, which quoted Mahmood Shah, chief of security for Pakistan’s
tribal areas bordering Afghanistan. Two other journalists riding in the bus
were injured. Anwar Shakir, a stringer for Agence France-Presse, was wounded in
the back during the attack, according to news reports. Dilawar Khan, who was
working for Al-Jazeera, suffered minor injuries. Nowab was also known
professionally as Mir Nawab. 
Days later, a group calling itself Sipah-e-Islam, or
Soldiers of Islam, claimed responsibility for the killings in a letter faxed to
newspapers. It accused some journalists of “working for Christians” and of
“being used as tools in negative propaganda … against the Muslim mujahideen.”
Local journalists blamed officials for not doing more at the
time of the murders. They said no attempt was made to stop the gunmen’s vehicle
even though the attack took place in an area under government control. They
also said no real investigation into the murders took place.
The Pakistani military had begun an offensive against
suspected Al-Qaeda fighters in South Waziristan in early 2004. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
13,Ananta Bijoy Das,Freelance,"May 12, 2015",Bangladesh,Killed,Murder,,"
Four unidentified assailants wielding cleavers and machetes hacked Ananta Bijoy Das to death on a busy street as the blogger was heading to work in the city of Sylhet, according to news reports. Kamrul Hasan, commissioner of Sylhet police, told local journalists that the four assailants fled the scene.
Das had contributed to the blog Mukto Mona–the blog founded by Bangladeshi blogger Avijit Roy, who was killed in early 2015–and was also the editor of a quarterly scientific magazine named Jukti (Reason), the reports said. He had also written numerous books, one on evolution. Das, who worked for a bank as his day job, had mainly written on science. He had also been critical of religious fundamentalism and previous attacks on secular thinkers in his writing, CNN reported.
According to news reports which cited Imran Sarker, head of an organization of secular bloggers, Das was also an activist during the 2013 Shahbag movement, which called for the death penalty for leaders of the Jamaat-e-Islami party who were on trial for war crimes.
The day before he was killed, Das wrote a post on Facebook in which he criticized police for their handling of the investigation into the murders of Bangladeshi bloggers Roy and Washiqur Rahman Babu, according to The Associated Press.
Das’s murder came just weeks after the attack on Babu, who was hacked to death in the street on March 30, 2015. In February 2015, Roy and his wife, Rafida Ahmed Bonna, were attacked by assailants wielding sharp weapons while the couple was visiting Dhaka, according to news reports. Roy, a U.S. citizen of Bangladeshi origin, was killed and his wife was critically injured.
In early May 2015, an Al-Qaeda branch claimed responsibility for the attack on Roy and his wife as well as for the 2013 murder of blogger Ahmed Rajib Haider in a video posted online, according to reports. The video also urged followers to carry out other such attacks against “blasphemers.”
Debasish Debu, a friend of Das, told journalists that the blogger had received threats for his writing and that the frequency of threats increased after the attack on Roy.
Police said they were investigating the murder, but no immediate arrests were made, news reports said. On May 13, 2015, The New York Times reported that Islamist extremists claimed responsibility for Das’s murder.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
14,Anil Mazumdar,Aji,"March 24, 2009",India,Killed,Murder,,"
Unidentified gunmen shot dead Mazumdar, the editor of an Assamese language daily Aji, as he was returning from his office outside his home in Rajgarh. His driver, Ramen Nath, and neighbors rushed him to a hospital, where Mazumdar was declared dead, according to the Telegraph.
Mazumdar had been supportive of peace talks between the separatist guerrilla group, United Liberation Front of Asom, which operates in the state, and the government, the Telegraph reported. The paper had taken a stand of supporting negotiations between the government and the militant group, Agence France Presse reported.

The same evening that Mazumdar was killed, suspected militants shot dead a leader with the liberation front who was supportive of peace talks, according to reports.

“[Mazumdar] was known for his bold and fearless journalism,” Atanu Bhuyan, a fellow journalist, was quoted as saying in news reports. His killing came days after security officials warned journalists in the area that rebel groups could target some of them before an upcoming general election, Reuters reported.

Three years after his death, the Gauhati High Court ordered that the Central Bureau of Investigation take over the case, after his widow, Mallika Kalita Majumdar, petitioned the court that she was dissatisfied with the investigation by Assam police, reports said.

In January 2016, the CBI filed a closure report naming Bijoy Phukan, a deceased United Liberation Front of Asom militant, as his killer. According to the report, a fortnight after Mazumdar’s killing, Phukan’s body was found with bullet injuries on the bank of the Brahmaputra river in Nalbari district. CPJ was unable to determine if Mazumdar’s family accepted the judgment.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
15,Anura Priyantha,Independent Television Network,"December 18, 1999",Sri Lanka,Killed,Dangerous Assignment,,"
Indika Pathinivasan, a camera assistant for Sri Lanka’s privately owned
Maharaja Television Network, and Anura Priyantha, a camera assistant for the
state-owned Independent Television Network, were fatally wounded by
shrapnel from a suicide bomb aimed at President Chandrika Bandaranaike
Kumaratunga at an election rally in Colombo. Five other journalists
were injured by the blast, along with Kumaratunga and scores of
onlookers.
  
The bomb exploded at around 10 p.m. near a barrier separating
journalists, including Pathinivasan and Priyantha, from Kumaratunga and
a car that had arrived to pick her up. At least 22 people were killed
in the assassination attempt, according to police.
Pathinivasan died instantly of shrapnel wounds. Priyantha died later at a Colombo hospital.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
16,Asfandyar Khan,Akhbar-e-Khyber,"June 11, 2011",Pakistan,Killed,Dangerous Assignment,,"

Asfandyar Khan, a reporter for the newspaper
Akhbar-e-Khyber, died in a double bombing that took the lives of more than
three dozen people. Shafiullah Khan, a trainee reporter at the daily The News,
died six days later from extensive burns and shrapnel wounds suffered in the
attack. Seven other journalists were injured.
The first, small blast went off at a market, drawing a large
crowd that included journalists covering the story, according to news reports
and local journalists. A second, larger explosion, apparently a suicide bomb,
went off after the crowd had grown.
The attack took place near the city center, in an area where
military facilities are concentrated and where many major Pakistani media
organizations have their offices. No group immediately claimed responsibility
for the bombings, and it was not clear if journalists or military personnel
were the targets. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
17,Ashok Sodhi,Daily Excelsior,"May 11, 2008",India,Killed,Dangerous Assignment,,"
Sodhi, a senior photographer with the local English-language Daily Excelsior in Indian-controlled Kashmir, was killed in crossfire in Samba, close to the border with Pakistan, according to news reports.
The BBC said suspected militants holding several hostages exchanged fire with security forces. Three militants, one soldier, and three other civilians were killed in the battle, which lasted several hours, the BBC reported.
Sodhi got his start as a print journalist before becoming a photographer, eventually rising to the position of chief photographer at his newspaper, according to an obituary posted on the citizen journalism Web site Merinews.
The violence was the worst reported in the volatile region since 2002, according to local news reports. Police said militants crossing the border from Pakistan were behind the attacks, according to the reports.
Separatist groups disputing Indian rule of Kashmir have led an often violent insurgency for nearly two decades in the quest for independence or union with Pakistan.
In July 2015, the Press Club of Jammu started an award for photojournalists in Sodhi’s honor, reports said. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
18,Asiya Jeelani,freelance,"April 20, 2004",India,Killed,Dangerous Assignment,,"
Jeelani died en route to the hospital after a van carrying an elections
monitoring team detonated an explosive device on a rural road in northern
Kashmir. 
Jeelani was a freelance journalist who contributed to local newspapers,
and a human rights activist who worked with several nongovernmental
organizations. Local sources said she was helping a local umbrella
organization, the Coalition of Civil Society, prepare an account of
its monitoring activity, and may have been reporting on the election
herself. 
The driver of the van was also killed in the blast. After the explosion,
the coalition called off its monitoring activities, citing the danger
involved.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
19,Aslam Durrani,Daily Pakistan,"April 16, 2013",Pakistan,Killed,Dangerous Assignment,,"
Durrani, 55, news editor of the Urdu-language Daily
Pakistan, was killed in a suicide bomb attack during a political rally for
the Awami National Party in the northwestern provincial capital of Peshawar,
according to news reports. His death was confirmed to CPJ by a staff member at
the Lahore offices of the paper by phone. News reports also identified him as Tariq Aslam Durrani.
News accounts reported
that more than 20 others were killed in the attack, which occurred in the densely
populated neighborhood of Yakatoot. The explosion occurred just after the
arrival of Awami National Party leaders, The Associated Press reported. Senior
police official Shafqat Malik told AFP
that the attack was a suicide bombing.
Two other journalists were injured: Ehtesham Khan, a
correspondent for Express TV, and Azhar Ali Shah, a reporter for Daily
Pakistan, both of whom were taken to a local hospital for treatment. 
The militant group Tehrik-i-Taliban Pakistan claimed
responsibility for the attack, which came less than two weeks before national
elections, according to local reports.
The group’s spokesman, Ihsanullah Ihsan, told local news media that the target
of the attack was Haroon Bilour, a lawyer running for a parliamentary seat that
had been held by his father, Bashir Bilour, who was assassinated last year by
the Taliban, the reports said. Haroon Bilour survived the attack.
Durrani was survived by his wife and four sons.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
20,Abdul Aziz Shaheen,Azadi,"August 29, 2008",Pakistan,Killed,Crossfire,,"

A Pakistani airstrike hit the lockup where Shaheen was being
held by a local Taliban group in the Swat Valley, according to local news
reports citing a Taliban spokesman. The spokesman, Muslim Khan, said Shaheen
was among at least 25 people killed in the strike, according to the Daily Times
newspaper. The precise location of the Taliban hideout was not reported.
Militants abducted Shaheen, who worked for the local
Urdu-language daily Azadi and sometimes filed for other papers, on August 27,
2008, according to local news reports. Owais Aslam Ali, secretary-general of
the Pakistan Press Foundation, told CPJ that local journalists believed the
Taliban abducted the journalist because of his work.
Shaheen’s car was set on fire a week before he was abducted,
although it was not clear whether the Taliban were responsible for that attack,
the group reported. It said the journalist was kidnapped from the Peuchar area
of the Matta Tehsil subdivision of Swat.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
21,Abdul Hakim Shimul,Samakal,"February 3, 2017",Bangladesh,Killed,Dangerous Assignment,,"
Abdul Hakim Shimul, a reporter for the Bangladeshi national daily Samakal newspaper, died on February 3, 2017, from gunshot wounds sustained while covering political unrest in the northern Bangladeshi city of Shahjadpur the previous day. He was 42.
Violence broke out between rival factions of the ruling Awami League, namely supporters of Halimul Haque Miru, mayor of Shahjadpur, and his opponents from another faction of the party, according to news reports. Witnesses said that Miru opened fire in the confrontation, despite police instructions not to do so, according to media reports. A bullet entered Shimul’s skull after piercing one of his eyes, according to news reports. Shimul was first treated at a local clinic, but succumbed to his injuries on the way to a hospital in the capital Dhaka the following day.
Police arrested Miru on February 5 on suspicion of being responsible for Shimul’s death. Miru admitted to firing his gun, but claimed he fired a shot in the air in response to shots fired by his rivals. Police said only Miru’s gun was fired, according to the Bangladeshi news website bdnews24.com.
A court on February 6 ordered Miru jailed in connection with Shimul’s death, and said it would decide on the question of bail later. Police sought to hold Miru for at least seven days for questioning, according to news reports.
According to media reports, Shimul’s maternal grandmother, Rokeya Begum, died of a stroke when she heard of his death. The journalist left behind a wife and two young children. His colleagues remembered Shimul as “honest journalist.”

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
22,Abdul Haq Baloch,ARY Television,"September 29, 2012",Pakistan,Killed,Murder,,"


Unidentified assailants shot Haq as he was leaving the Khuzdar
Press Club in the city of Khuzdar in Baluchistan province. Haq was the
secretary-general of the press club and a longtime local correspondent for ARY
Television. 
ARY Television said it was not aware of any threats directed
at Haq. But Hamid Mir, a prominent Pakistani journalist, wrote after Haq’s
death that the journalist had been threatened by the Baluch Musalah Diffa Army
(BMDA, or the Armed Baluch Defense) in November 2011 and had subsequently been
named on a hit list issued by a BMDA spokesman.
Tensions with the press had escalated after the Baluchistan
High Court barred news coverage of banned groups in October 2011. Several of
the banned groups began threatening local journalists for not reporting on
their militant operations.
Haq’s family declined to discuss widespread assertions by
his colleagues that he had been killed because security forces were angry that
he was working with the families of missing Baluchis on presenting cases before
the Quetta bench of the Supreme Court of Pakistan. At the time of Haq’s death,
the court was hearing more than 100 missing-person cases in Baluchistan. Of
those cases, 19 were from Khuzdar.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
23,Abdul Qadir Hajizai,WASH TV,"May 28, 2012",Pakistan,Killed,Murder,,"


Armed men shot Hajizai, a headmaster of a middle school who
also worked at WASH TV, a private Baluchi-language TV channel, according to
local news reports. The journalist was taken to a hospital, where he died, the
reports said.
Hajizai was killed in the Basima area of Washik district,
home of the Shamsi Air Field, which was used by the United States as a base for
surveillance and drone operations against militants in Pakistan’s Federally
Administered Tribal Areas.
Two days after Hajizai’s death, the Baluch Liberation Front,
an armed separatist group, claimed responsibility for his killing and called
him a government informer. The journalist’s colleagues said they were unaware
of any threats made against him.
The Baluchistan Union of Journalists issued a statement
protesting the killing and appealed to the Supreme Court and the Baluchistan
High Court to address the rising level of threats to journalists.



Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
24,Abdul Razzak Johra,Royal TV,"November 3, 2008",Pakistan,Killed,Murder,,"

Six armed men dragged reporter Johra from his home in the
Mianwali district of Punjab and shot him, according to the Pakistan Federal
Union of Journalists. The attack came a day after his report on local drug
trafficking was aired nationally. 
Colleagues said Johra, 45, who had done earlier reports on
the drug trade, had received threats telling him to stop covering the issue.
Police took no evident steps to investigate the murder, according to local
journalists.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
25,Abdul Wahab,Express News,"December 6, 2010",Pakistan,Killed,Dangerous Assignment,,"

Abdul Wahab, a reporter for Express News, and Pervez Khan, a
Waqt TV journalist, were among 50 people killed in a double-suicide bomb attack
in the Mohmand tribal district, according to international news reports. 
The journalists were covering a meeting of tribal leaders
and government officials in Ghalanai, the administrative center of the region,
when two suicide bombers wearing police uniforms detonated explosives. News
reports said the meeting was called to discuss the formation of an anti-Taliban
militia. Agence France-Presse said a Pakistani Taliban group took credit for
the attack, which injured more than 100 people.
The journalists worked as both cameramen and reporters. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
